scenario,training_seed,evaluation_episode,evaluation_seed,robot_random_seed,robot_id,nominal_start_x,nominal_start_y,nominal_start_yaw,realized_start_x,realized_start_y,realized_start_yaw,fixed_goal_x,fixed_goal_y,euclidean_distance_m,astar_path_length_m,astar_waypoint_count,planner_name,planner_config_hash
static_clutter,0,9,9,9000036,robot_3,5.0,-4.0,2.4669,5.038489938046442,-3.974830764382265,2.415488866262003,-5.0,4.0,12.82065544177822,21.435674931802915,25,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,0,9,9,9000036,robot_4,5.0,4.0,-2.4669,4.954706012610504,3.9783395739965295,-2.6016959573882823,-5.0,-4.0,12.757353728556046,21.102319033204637,25,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,1,0,10000,10000030000,robot_1,-5.0,-4.0,0.6747,-4.952138699146578,-4.02839312172159,0.5581131697988266,5.0,4.0,12.786718140475195,20.912310562561768,24,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,1,0,10000,10000030000,robot_2,-5.0,4.0,-0.6747,-5.0458336407581985,3.988116911837493,-0.7447848016978733,5.0,-4.0,12.834671220369195,21.7503776456267,30,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,1,0,10000,10000030000,robot_3,5.0,-4.0,2.4669,4.974112115832215,-3.989370490146638,2.572024187360537,-5.0,4.0,12.779395655821011,22.185674931802915,26,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,1,0,10000,10000030000,robot_4,5.0,4.0,-2.4669,4.983538618291921,4.041943456378058,-2.4461669999822946,-5.0,-4.0,12.81966840048946,20.852319033204637,24,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,1,1,10001,10001030004,robot_1,-5.0,-4.0,0.6747,-5.033893437274717,-4.015626059235631,0.7716426267789682,5.0,4.0,12.842479458114074,20.662310562561768,24,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,1,1,10001,10001030004,robot_2,-5.0,4.0,-0.6747,-5.048891852917405,3.9695665738819814,-0.5445413311860431,5.0,-4.0,12.82552996359865,22.0003776456267,31,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,1,1,10001,10001030004,robot_3,5.0,-4.0,2.4669,4.980394084902423,-4.041260127416114,2.3857867459838142,-5.0,4.0,12.816790960561365,21.935674931802915,26,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,1,1,10001,10001030004,robot_4,5.0,4.0,-2.4669,5.000009739493765,4.0315600460315135,-2.3816030130244514,-5.0,-4.0,12.825995149031513,20.852319033204637,24,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,1,2,10002,10002030008,robot_1,-5.0,-4.0,0.6747,-4.9718602579890545,-4.006856807362588,0.6444463170447539,5.0,4.0,12.7885790038796,20.662310562561768,24,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
