protocol_id,scenario,method,training_seed,n_test_episodes,successful_episodes,collision_episodes,rr_near_miss_episodes,rp_near_miss_episodes,completion_mean_s,makespan_mean_s,waiting_mean_s,path_length_mean_m,astar_ratio_mean,straightness_mean,turning_per_m_mean,sharp_turns_mean,min_rr_mean_m,min_rp_mean_m,intervention_ratio_mean,mean_norm_intervention_mean,max_norm_intervention_mean,source_raw_file,computed_by_script
main_comparison,static_clutter,CA-GAT-MAPPO,2,10,10,0,0,N/A,33.771205,36.786494,0.569788,17.065769,0.8031,0.747059,0.951811,0.3,0.723529,N/A,0.204723846832431,0.1473399,0.977892,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,CA-GAT-MAPPO,3,10,10,0,0,N/A,33.55517,36.938873,0.425488,17.165794,0.8066,0.732588,0.819851,0.1,0.721779,N/A,0.204155897734959,0.1475179,0.754912,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,CA-GAT-MAPPO,4,10,10,0,0,N/A,33.499709,36.619131,0.570562,17.135308,0.8059,0.750043,0.915817,0.5,0.714266,N/A,0.216265825809598,0.1441067,0.9955615,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,CA-GAT-MAPPO,5,10,10,0,0,N/A,33.513649,36.773823,0.456596,17.316816,0.8168,0.742687,0.946031,1.7,0.729929,N/A,0.204379505791358,0.1460948,0.9762165,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,CA-GAT-MAPPO,6,10,10,0,0,N/A,33.473342,36.538136,0.573198,17.354893,0.8184,0.738959,0.910474,0.2,0.765711,N/A,0.209365305814843,0.1457933,0.9807275,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,static_clutter,CA-GAT-MAPPO,7,10,10,0,0,N/A,33.642676,36.893526,0.413424,17.106546,0.8057,0.740045,0.948926,0.5,0.704755,N/A,0.20248026583584,0.1436689,0.99542,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,CA-GAT-MAPPO,0,10,10,0,0,0,31.859974,33.405239,0.992761,13.273342,1.0363,0.947063,0.817473,3.2,0.704874,0.8506,0.277065337854763,0.1299132,0.6382709,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,CA-GAT-MAPPO,1,10,10,0,0,0,31.817595,33.292886,1.025896,13.613596,1.0627,0.943698,0.892641,3.1,0.704308,0.9237,0.313533207928252,0.1261026,0.6359928,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,CA-GAT-MAPPO,2,10,10,0,0,0,31.423547,33.310295,1.416562,13.341271,1.0417,0.930355,0.87277,3.1,0.661313,0.9445,0.251935135977283,0.1277103,0.6262326,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,CA-GAT-MAPPO,3,10,10,0,0,0,31.709634,32.663495,1.005725,13.454411,1.0506,0.941598,0.755718,1.9,0.738553,0.9169,0.248607162089793,0.1305056,0.6312261,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,CA-GAT-MAPPO,4,10,10,0,0,0,31.969261,33.724512,0.759464,13.392127,1.0457,0.934719,0.790056,2,0.687292,0.932,0.266724768132395,0.1313146,0.6303209,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,CA-GAT-MAPPO,5,10,10,0,0,0,31.684385,33.103069,0.693023,13.374437,1.0439,0.935005,0.773893,2.2,0.710326,0.9304,0.246840731565666,0.1275016,0.6348454,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,CA-GAT-MAPPO,6,10,10,0,0,0,31.528033,32.981484,1.282766,13.375549,1.0447,0.931514,0.842065,3.9,0.690654,0.9588,0.28466340495723,0.1313176,0.6296017,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,dynamic_pedestrians,CA-GAT-MAPPO,7,10,10,0,0,0,31.607571,33.919019,1.063803,13.375267,1.0446,0.940048,0.775383,3,0.70268,0.9271,0.254582937242146,0.1276343,0.6295094,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,CA-GAT-MAPPO,0,10,10,0,0,0,45.579031,48.100537,0.651388,21.060675,0.9138,0.798218,0.738294,0.3,0.855537,0.8286,0.279401669832637,0.1570003,0.597417,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,CA-GAT-MAPPO,1,10,10,0,0,0,45.300568,49.070906,0.616652,21.260219,0.9216,0.785262,0.673544,1.6,0.835774,0.7829,0.292636381369022,0.1568557,0.5983267,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,CA-GAT-MAPPO,2,10,10,0,0,0,45.487305,48.40837,0.739502,21.145232,0.917,0.798833,0.713807,0.5,0.87145,0.8151,0.286702071126198,0.1585357,0.5994183,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,CA-GAT-MAPPO,3,10,10,0,0,0,47.281919,47.957808,0.586709,21.234282,0.9197,0.792419,0.7459,0.1,0.882077,0.8217,0.280959583896003,0.1566276,0.5989418,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,CA-GAT-MAPPO,4,10,10,0,0,0,46.306363,49.511074,0.756308,21.388654,0.9284,0.798395,0.733949,0.3,0.858479,0.8123,0.290397105291893,0.1569482,0.6000022,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,CA-GAT-MAPPO,5,10,10,0,0,0,45.543581,47.956141,0.789083,21.07687,0.9134,0.797567,0.631795,0.1,0.852607,0.785,0.2992791248247,0.1519022,0.5980887,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,CA-GAT-MAPPO,6,10,10,0,0,0,45.968517,48.325226,0.690061,21.415725,0.9299,0.786633,0.692228,0,0.845554,0.8094,0.296289567592989,0.1550936,0.5994557,01_main/main_episode_records.csv,aggregate_results.py
main_comparison,mixed_complex,CA-GAT-MAPPO,7,10,10,0,0,0,45.732717,49.869937,0.850298,21.018344,0.9121,0.786673,0.670482,0.3,0.806521,0.8409,0.286338701779216,0.1550364,0.6003494,01_main/main_episode_records.csv,aggregate_results.py
