record_type,t,robot_id,x,y,vx,vy,omega,pair_i,pair_j,relative_distance,relative_velocity_x,relative_velocity_y,relative_velocity,tau_cpa,d_cpa,edge_active,gate_value,priority_state,residual_vx,residual_vy,residual_omega
robot,24.3,robot_2,1.1556728008246142,-1.3418279313020216,0.07866421078723797,0.01849974546611171,0.026350782477465893,,,,,,,,,,1.0,yield,-0.0004530276346486062,-0.001068097073584795,0.0028286147862672806
robot,24.3,robot_3,1.6984385288403998,-2.302506066517529,0.05208791225447608,-0.03738084539506328,0.04333157453926128,,,,,,,,,,0.0,proceed,0.0041259960271418095,-0.0,0.0
robot,24.3,robot_4,-1.1425631149923265,-1.0471069226679366,0.08404656442734167,-0.010427690960343412,-0.033656847850338976,,,,,,,,,,0.0,proceed,0.0041549429297447205,-0.0,0.0
pair,24.3,,,,,,,robot_1,robot_2,2.742331189816181,-0.010490503313207139,1.1669209171812485,1.1669680705207364,2.2579213940180307,0.7599773017435997,1,,,,,
pair,24.3,,,,,,,robot_1,robot_3,3.6075185809076054,-0.37605027567575333,0.028454662816621012,0.3771252811358815,0.20910359429584638,3.606656580230364,0,,,,,
pair,24.3,,,,,,,robot_1,robot_4,3.836173719665311,0.025650844778059317,1.157409620798326,1.1576938266028514,2.0848217277883685,2.9817503380105643,0,,,,,
pair,24.3,,,,,,,robot_2,robot_3,1.1034025172119422,-0.3655597723625462,-1.1384662543646276,1.1957170900747307,-0.6261884841613797,0.8104808017205057,0,,,,,
pair,24.3,,,,,,,robot_2,robot_4,2.317056062697065,0.036141348091266456,-0.009511296382922696,0.037371938680484426,61.478393013555,0.2998931494076242,0,,,,,
pair,24.3,,,,,,,robot_3,robot_4,3.106013095696562,0.4017011204538127,1.1289549579817049,1.1982917371514006,-0.19225221158237632,3.0974578385758416,0,,,,,
robot,24.400000000000002,robot_1,1.8969438737006932,1.2635462777874473,0.04805862416383478,-0.02400617565856202,-0.04751338355665261,,,,,,,,,,1.0,proceed,0.0007081287913024426,-0.001418807078152895,0.00114176154602319
robot,24.400000000000002,robot_2,1.1560549007815661,-1.3025504225374083,0.04589021324755501,0.015446159946369695,0.01784879218519432,,,,,,,,,,1.0,yield,-0.0006042455788701773,-0.0009119046153500676,0.003044049022719264
robot,24.400000000000002,robot_3,1.6687988816265853,-2.3152892590983623,0.033227885146559666,-0.024025457607239512,0.031088876181428294,,,,,,,,,,0.0,proceed,0.004216945264488459,-0.0,0.0
robot,24.400000000000002,robot_4,-1.134535885349596,-1.0061413294298376,0.05119280430416947,-0.010090044461125908,-0.03790708439982853,,,,,,,,,,0.0,proceed,0.004300152882933617,-0.0,0.0
pair,24.400000000000002,,,,,,,robot_1,robot_2,2.6709115944956454,-0.005605133097387721,1.1669321359204239,1.166945597429821,2.195910784779476,0.7532060338805584,1,,,,,
pair,24.400000000000002,,,,,,,robot_1,robot_3,3.586100101431252,-0.35948429547717753,0.023343164612052436,0.3602413941079343,0.011765121964563325,3.5860975968919884,0,,,,,
pair,24.400000000000002,,,,,,,robot_1,robot_4,3.7869976714921973,0.05132841789824663,1.150570640458672,1.1517149843470023,2.0860510360350863,2.9273146392358536,0,,,,,
pair,24.400000000000002,,,,,,,robot_2,robot_3,1.1351415510726546,-0.3538791623797898,-1.1435889713083713,1.1970907220694513,-0.681569922438926,0.7892096358056779,0,,,,,
pair,24.400000000000002,,,,,,,robot_2,robot_4,2.309689264811573,0.05693355099563435,-0.01636149546175203,0.059237891275073506,38.54552256578014,0.34778193636807253,0,,,,,
pair,24.400000000000002,,,,,,,robot_3,robot_4,3.09395444657687,0.41081271337542413,1.1272274758466194,1.1997536696232354,-0.22513544372558192,3.0821415096732476,0,,,,,
robot,24.5,robot_1,1.900438527695404,1.206520701411804,0.08843045543511138,-0.04373584157870438,-0.11310828922424568,,,,,,,,,,1.0,proceed,0.0007912356522865593,-0.0014500124379992485,0.0011532902717590332
robot,24.5,robot_2,1.153785125959076,-1.254469600293966,0.07488904092968118,0.025286468359972412,0.027088127781207016,,,,,,,,,,1.0,yield,-0.0006491465610451996,-0.0009053101530298591,0.0029774862341582775
robot,24.5,robot_3,1.6321689125469006,-2.3326373099176,0.0542454538388729,-0.0381992211028637,0.055763711062395895,,,,,,,,,,0.0,proceed,0.004216534551233053,-0.0,0.0
robot,24.5,robot_4,-1.119636610657548,-0.9577863301777888,0.07871097975927475,-0.021250047400821072,-0.09155278068094533,,,,,,,,,,0.0,proceed,0.004446573089808226,-0.0,0.0
pair,24.5,,,,,,,robot_1,robot_2,2.571762929862371,-0.0005432438463317257,1.1686651887422992,1.1686653150033803,2.105515521794687,0.747797290877946,1,,,,,
pair,24.5,,,,,,,robot_1,robot_3,3.5493109212309126,-0.3282674073013493,0.015743744853181085,0.3286447264118991,-0.299466364473067,3.5479461530146876,0,,,,,
pair,24.5,,,,,,,robot_1,robot_4,3.7155186405515117,0.07133735281996131,1.147126229682254,1.149342248737243,2.0425456840348315,2.879918036711292,0,,,,,
pair,24.5,,,,,,,robot_2,robot_3,1.179532389273469,-0.32772416345501754,-1.152921443889118,1.198595420937215,-0.7561195317716878,0.7549507705936713,0,,,,,
pair,24.5,,,,,,,robot_2,robot_4,2.2926987057369255,0.07188059666629304,-0.021538959060045215,0.0750383031157595,30.156773459444626,0.3683634368930622,0,,,,,
pair,24.5,,,,,,,robot_3,robot_4,3.076141878072276,0.3996047601213106,1.1313824848290728,1.1998792819653223,-0.31662462544376,3.0525917245371263,0,,,,,
robot,24.6,robot_1,1.9011423331735213,1.1640014968589218,0.06062618014874507,-0.029014870863886127,-0.0780200167301892,,,,,,,,,,1.0,proceed,0.00013344093167688698,-0.0013935585739091039,0.000704464502632618
robot,24.6,robot_2,1.151909451862917,-1.2206637069492283,0.05070395505942213,0.01659749014181377,0.014316631921823997,,,,,,,,,,1.0,yield,-0.0009152856073342264,-0.0008565362659282982,0.0029009939171373844
robot,24.6,robot_3,1.606981913295621,-2.3460177805766556,0.03736837048725368,-0.025160011394956317,0.039098876489752576,,,,,,,,,,0.0,proceed,0.004254479426890612,-0.0,0.0
robot,24.6,robot_4,-1.106692480755281,-0.925783895404466,0.05163961641307904,-0.014826195168065968,-0.07125551212865135,,,,,,,,,,0.0,proceed,0.004557834472507238,-0.0,0.0
pair,24.6,,,,,,,robot_1,robot_2,2.4995955762263535,0.007896458870970985,1.1655665926781893,1.1655933407626113,2.0501886630154478,0.7330604731575735,1,,,,,
pair,24.6,,,,,,,robot_1,robot_3,3.5223239034183265,-0.31717853300935217,0.010911433845870011,0.31736616264267603,-0.546081489956147,3.518057715781818,0,,,,,
pair,24.6,,,,,,,robot_1,robot_4,3.662550102537787,0.06285649941400379,1.1488841443112845,1.150602327725985,1.9563495828908724,2.889179912156205,0,,,,,
pair,24.6,,,,,,,robot_2,robot_3,1.2138833289012023,-0.3250749918803232,-1.1546551588323193,1.1995425320363096,-0.800237250988964,0.7430134470261028,0,,,,,
pair,24.6,,,,,,,robot_2,robot_4,2.277770136182168,0.0549600405430328,-0.01668244836690458,0.05743613966838515,39.119638165579765,0.3738483095912368,0,,,,,
pair,24.6,,,,,,,robot_3,robot_4,3.0628570005011366,0.380035032423356,1.1379727104654145,1.1997535228675194,-0.40634473196612386,3.0238094466670336,0,,,,,
robot,24.700000000000003,robot_1,1.8995668324032375,1.097855555816437,0.07754914436458207,-0.034738112929141286,-0.08281141038201258,,,,,,,,,,1.0,proceed,0.0002696939918678254,-0.0013425304787233472,0.0007359582232311368
robot,24.700000000000003,robot_2,1.149139131722139,-1.1678598413642118,0.06513948982558405,0.02019448920511998,0.013301177546573086,,,,,,,,,,1.0,yield,-0.000802528636995703,-0.0009313681512139738,0.0029249300714582205
