run_id,trace_episode_id,scenario,method,training_seed,evaluation_episode_index,evaluation_seed,robot_random_seed,pedestrian_random_seed,step_index,t_s,record_type,robot_id,x_m,y_m,yaw_rad,vx_m_s,vy_m_s,omega_rad_s,final_goal_x,final_goal_y,residual_vx_m_s,residual_vy_m_s,residual_omega_rad_s,pair_i,pair_j,relative_x_m,relative_y_m,relative_vx_m_s,relative_vy_m_s,tau_CPA_s,d_CPA_m,edge_active,gate_value,active_neighbor_count,priority_state,source
mechanism_mixed_complex_s1_q0_e10200_605babe8a6e1a621,mixed_complex_s1_q0,mixed_complex,mo_gat_mappo,1,0,10200,10200030600,10200030697,5,0.5,robot_state,robot_1,-5.939002504959195,6.0011479328748125,,0.18316652875637313,0.2506385638479484,0.39697943615907727,6.0,-6.0,2.7518701244844124e-05,-0.0,0.0,,,,,,,,,,,,proceed,runtime_logged
mechanism_mixed_complex_s1_q0_e10200_605babe8a6e1a621,mixed_complex_s1_q0,mixed_complex,mo_gat_mappo,1,0,10200,10200030600,10200030697,5,0.5,gate_state,robot_1,,,,,,,,,,,,,,,,,,,,,0.0,0,proceed,runtime_logged
mechanism_mixed_complex_s1_q0_e10200_605babe8a6e1a621,mixed_complex_s1_q0,mixed_complex,mo_gat_mappo,1,0,10200,10200030600,10200030697,5,0.5,robot_state,robot_2,-5.8730793119816065,-6.035298616481861,,0.20573248119420498,-0.24277954136121008,-0.39697950010383326,6.0,6.0,0.0,-0.0,0.0,,,,,,,,,,,,proceed,runtime_logged
mechanism_mixed_complex_s1_q0_e10200_605babe8a6e1a621,mixed_complex_s1_q0,mixed_complex,mo_gat_mappo,1,0,10200,10200030600,10200030697,5,0.5,gate_state,robot_2,,,,,,,,,,,,,,,,,,,,,0.0,0,proceed,runtime_logged
mechanism_mixed_complex_s1_q0_e10200_605babe8a6e1a621,mixed_complex_s1_q0,mixed_complex,mo_gat_mappo,1,0,10200,10200030600,10200030697,5,0.5,robot_state,robot_3,5.981481420603968,5.982025983301937,,0.30685989613003983,-0.04360139386449502,-0.19616802676956588,-6.0,-6.0,0.0,0.0,0.0,,,,,,,,,,,,proceed,runtime_logged
mechanism_mixed_complex_s1_q0_e10200_605babe8a6e1a621,mixed_complex_s1_q0,mixed_complex,mo_gat_mappo,1,0,10200,10200030600,10200030697,5,0.5,gate_state,robot_3,,,,,,,,,,,,,,,,,,,,,0.0,0,proceed,runtime_logged
mechanism_mixed_complex_s1_q0_e10200_605babe8a6e1a621,mixed_complex_s1_q0,mixed_complex,mo_gat_mappo,1,0,10200,10200030600,10200030697,5,0.5,robot_state,robot_4,5.899083210184506,-5.988536379831531,,0.067826966783852,0.23461114550668205,0.3969794191073102,-6.0,6.0,0.0,-0.0,0.0,,,,,,,,,,,,proceed,runtime_logged
mechanism_mixed_complex_s1_q0_e10200_605babe8a6e1a621,mixed_complex_s1_q0,mixed_complex,mo_gat_mappo,1,0,10200,10200030600,10200030697,5,0.5,gate_state,robot_4,,,,,,,,,,,,,,,,,,,,,0.0,0,proceed,runtime_logged
mechanism_mixed_complex_s1_q0_e10200_605babe8a6e1a621,mixed_complex_s1_q0,mixed_complex,mo_gat_mappo,1,0,10200,10200030600,10200030697,6,0.6000000000000001,robot_state,robot_1,-5.881832375517871,6.015674464074746,,0.060347452707529795,0.07901702793875617,0.12374177987841263,6.0,-6.0,0.0001291300868615508,-0.0,0.0,,,,,,,,,,,,proceed,runtime_logged
mechanism_mixed_complex_s1_q0_e10200_605babe8a6e1a621,mixed_complex_s1_q0,mixed_complex,mo_gat_mappo,1,0,10200,10200030600,10200030697,6,0.6000000000000001,gate_state,robot_1,,,,,,,,,,,,,,,,,,,,,0.0,0,proceed,runtime_logged
